Correlation table - 50 periods
ALX fradiani libs generated
Mon, 02 02 2010
pair1,pair2,15min,30min,Hourly
EURGBP,USDJPY,-0.68,0.38,0.6
EURGBP,GBPNZD,0.74,-0.52,-0.87
EURGBP,AUDJPY,-0.85,0.21,-0.14
EURGBP,AUDCHF,-0.86,-0.19,-0.22
USDCHF,NZDJPY,-0.5,-0.77,-0.21
USDCHF,AUDNZD,-0.51,0.37,-0.77
USDCHF,EURNZD,0.55,0.57,-0.1
USDCHF,AUDUSD,-0.72,-0.75,-0.85
USDCHF,GBPUSD,-0.8,-0.01,-0.84
USDCHF,NZDCAD,-0.29,-0.62,-0.49
USDCHF,NZDCHF,-0.46,-0.56,0.48
USDCHF,AUDCAD,-0.53,-0.48,-0.86
USDCHF,EURJPY,-0.44,-0.85,-0.41
USDCHF,EURUSD,-0.92,-0.97,-0.92
USDCHF,CHFJPY,-0.53,-0.87,-0.7
USDCHF,CADJPY,-0.52,-0.77,-0.09
USDCHF,GBPCHF,-0.22,0.67,-0.35
USDCHF,GBPCAD,0.54,0.84,-0.63
USDCHF,GBPAUD,0.61,0.86,-0.18
USDCHF,EURGBP,0.58,-0.61,0.58
USDCHF,EURCAD,0.61,0.43,-0.42
USDCHF,USDCAD,0.74,0.77,0.44
USDCHF,NZDUSD,-0.65,-0.77,-0.52
USDCHF,CADCHF,-0.48,-0.42,0.72
USDCHF,GBPJPY,-0.5,-0.57,-0.84
USDCHF,EURCHF,0.79,0.17,0.83
USDCHF,EURAUD,0.62,0.5,0.6
USDCHF,USDJPY,-0.18,-0.71,0.22
USDCHF,GBPNZD,0.5,0.84,-0.49
USDCHF,AUDJPY,-0.55,-0.76,-0.59
USDCHF,AUDCHF,-0.55,-0.49,-0.21
EURCAD,NZDJPY,-0.96,-0.8,-0.63
EURCAD,AUDNZD,-0.12,0.21,0.58
EURCAD,EURNZD,0.96,0.94,0.86
EURCAD,AUDUSD,-0.95,-0.86,0.04
EURCAD,GBPUSD,-0.82,-0.62,0.45
EURCAD,NZDCAD,-0.65,-0.62,-0.01
EURCAD,NZDCHF,-0.93,-0.92,-0.84
EURCAD,AUDCAD,-0.68,-0.54,0.48
EURCAD,EURJPY,-0.94,-0.59,-0.34
